timestamp,relative_humidity_pct,wind_direction_deg,wind_cardinal,altimeter,sea_level_pressure,visibility,cloud_layer_code,cloud_layer,metar,weather_summary,pressure_tendency,temperature_c,temperature_f,dewpoint_c,dewpoint_f,max_temp_6h_c,max_temp_6h_f,min_temp_6h_c,min_temp_6h_f,max_temp_24h_c,max_temp_24h_f,min_temp_24h_c,min_temp_24h_f,wind_speed_kmh,wind_speed_mph
2026-02-08T00:00:00-0800,72.23,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080800Z AUTO 00000KT 10SM CLR 16/11 A3015,clear,,16.0,60.8,,,,,,,,,,,0.0,0.0
2026-02-08T00:05:00-0800,63.64,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080805Z AUTO 00000KT 10SM CLR 18/11 A3015,clear,,18.0,64.4,,,,,,,,,,,0.0,0.0
2026-02-08T00:10:00-0800,59.54,320.0,NW,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080810Z AUTO 32003KT 10SM CLR 18/10 A3015,clear,,18.0,64.4,,,,,,,,,,,1.543,0.96
2026-02-08T00:15:00-0800,59.54,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080815Z AUTO 00000KT 10SM CLR 18/10 A3015,clear,,18.0,64.4,,,,,,,,,,,0.0,0.0
2026-02-08T00:20:00-0800,55.67,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080820Z AUTO 00000KT 10SM CLR 18/09 A3015,clear,,18.0,64.4,,,,,,,,,,,0.0,0.0
2026-02-08T00:25:00-0800,55.67,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080825Z AUTO 00000KT 10SM CLR 18/09 A3015,clear,,18.0,64.4,,,,,,,,,,,0.0,0.0
2026-02-08T00:30:00-0800,48.87,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080830Z AUTO 00000KT 10SM CLR 19/08 A3015,clear,,19.0,66.2,,,,,,,,,,,0.0,0.0
2026-02-08T00:35:00-0800,42.9,20.0,NNE,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080835Z AUTO 02003KT 10SM CLR 20/07 A3015,clear,,20.0,68.0,,,,,,,,,,,1.543,0.96
2026-02-08T00:40:00-0800,63.18,90.0,E,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080840Z AUTO 09004KT 10SM CLR 16/09 A3015,clear,,16.0,60.8,,,,,,,,,,,2.058,1.28
2026-02-08T00:45:00-0800,72.23,0.0,N,102133.432,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080845Z AUTO 00000KT 10SM CLR 16/11 A3016,clear,,16.0,60.8,,,,,,,,,,,0.0,0.0
2026-02-08T00:50:00-0800,63.42,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080850Z AUTO 00000KT 10SM CLR 17/10 A3015,clear,,17.0,62.6,,,,,,,,,,,0.0,0.0
2026-02-08T00:53:00-0800,60.15,,,102099.568,102080.0,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080853Z VRB03KT 10SM CLR 17/09 A3015 RMK AO2 SLP208 T01720094  58000,clear,8000.0,17.2,62.96,9.4,48.92,,,,,,,,,1.543,0.96
2026-02-08T00:55:00-0800,63.18,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080855Z AUTO 00000KT 10SM CLR 16/09 A3015,clear,,16.0,60.8,,,,,,,,,,,0.0,0.0
2026-02-08T01:00:00-0800,63.42,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080900Z AUTO 00000KT 10SM CLR 17/10 A3015,clear,,17.0,62.6,,,,,,,,,,,0.0,0.0
2026-02-08T01:05:00-0800,63.42,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080905Z AUTO 00000KT 10SM CLR 17/10 A3015,clear,,17.0,62.6,,,,,,,,,,,0.0,0.0
2026-02-08T01:10:00-0800,63.18,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080910Z AUTO 00000KT 10SM CLR 16/09 A3015,clear,,16.0,60.8,,,,,,,,,,,0.0,0.0
2026-02-08T01:15:00-0800,63.18,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080915Z AUTO 00000KT 10SM CLR 16/09 A3015,clear,,16.0,60.8,,,,,,,,,,,0.0,0.0
2026-02-08T01:20:00-0800,63.18,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080920Z AUTO 00000KT 10SM CLR 16/09 A3015,clear,,16.0,60.8,,,,,,,,,,,0.0,0.0
2026-02-08T01:25:00-0800,71.85,90.0,E,102133.432,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080925Z AUTO 09005KT 10SM CLR 14/09 A3016,clear,,14.0,57.2,,,,,,,,,,,2.572,1.6
2026-02-08T01:30:00-0800,87.66,120.0,ESE,102133.432,,9.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080930Z AUTO 12004KT 9SM CLR 13/11 A3016,clear,,13.0,55.4,,,,,,,,,,,2.058,1.28
2026-02-08T01:35:00-0800,82.14,0.0,N,102133.432,,9.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080935Z AUTO 00000KT 9SM CLR 14/11 A3016,clear,,14.0,57.2,,,,,,,,,,,0.0,0.0
2026-02-08T01:40:00-0800,77.01,0.0,N,102133.432,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080940Z AUTO 00000KT 10SM CLR 15/11 A3016,clear,,15.0,59.0,,,,,,,,,,,0.0,0.0
2026-02-08T01:45:00-0800,67.57,0.0,N,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080945Z AUTO 00000KT 10SM CLR 16/10 A3015,clear,,16.0,60.8,,,,,,,,,,,0.0,0.0
2026-02-08T01:50:00-0800,77.01,90.0,E,102099.568,,10.0,1.0,"{'sky_condition': 'clear', 'height_agl': None}",METAR KLAX 080950Z AUTO 09003KT 10SM CLR 15/11 A3015,clear,,15.0,59.0,,,,,,,,,,,1.543,0.96
